idx,criteria_name,park_id,average_score,category_id,category_name,created_at,updated_at
1,안전성,3,3.4,1,진입공간,2023-12-13 14:52:44.369868+00,2023-12-15 04:07:37.808238+00
2,정보제공성,3,3.6,1,진입공간,2023-12-13 14:52:44.36287+00,2023-12-15 04:07:37.808583+00
3,포용성,3,3.2,1,진입공간,2023-12-13 14:52:44.36888+00,2023-12-15 04:07:37.812276+00
4,접근성,3,4.6,2,이동공간,2023-12-14 00:22:23.550366+00,2023-12-15 05:34:29.201749+00
5,정보제공성,3,4.1,2,이동공간,2023-12-14 05:57:59.943796+00,2023-12-15 05:34:29.233159+00
6,접근성,2,1.1,1,진입공간,2023-11-07 10:02:16.389811+00,2023-12-13 12:24:46.550578+00
7,포용성,2,1.4,1,진입공간,2023-11-07 10:02:16.439626+00,2023-12-13 12:24:46.630807+00
8,정보제공성,2,1.2,1,진입공간,2023-11-07 10:02:16.45477+00,2023-12-13 12:24:46.635758+00
9,안전성,2,1.2,1,진입공간,2023-11-07 10:02:16.441005+00,2023-12-13 12:24:46.63581+00
10,이동성,3,4.9,2,이동공간,2023-12-14 00:22:23.590743+00,2023-12-15 05:34:29.234549+00
11,접근성,3,4.6,4,편의공간(편의),2023-12-14 05:36:53.69914+00,2023-12-14 06:36:55.21033+00
12,안전성,3,1.2,8,공공건축물,2023-12-16 15:08:04.336177+00,2023-12-21 05:48:20.436148+00
13,포용성,3,3.9,2,이동공간,2023-12-14 00:22:23.582637+00,2023-12-14 06:11:52.873921+00
14,안전성,3,4.6,4,편의공간(편의),2023-12-14 05:36:53.699182+00,2023-12-14 06:36:55.245528+00
15,이동성,2,1.3,1,진입공간,2023-11-07 10:02:16.439626+00,2023-11-14 02:59:14.084996+00
16,포용성,3,4.6,4,편의공간(편의),2023-12-14 05:36:53.699925+00,2023-12-14 06:36:55.24521+00
17,접근성,3,3.0,3,위생공간,2023-12-14 06:02:48.243409+00,
18,정보제공성,3,5.0,3,위생공간,2023-12-14 06:02:48.269509+00,
19,접근성,2,3.0,3,위생공간,2023-11-11 04:39:13.031006+00,2023-12-12 14:04:06.533389+00
20,안전성,2,3.0,3,위생공간,2023-11-11 04:39:13.044+00,2023-12-12 14:04:06.565832+00
21,포용성,2,3.0,3,위생공간,2023-11-11 04:39:13.034643+00,2023-12-12 14:04:06.568694+00
22,정보제공성,2,3.0,3,위생공간,2023-11-11 04:39:13.032181+00,2023-12-12 14:04:06.572352+00
23,접근성,2,3.0,5,편의공간(안내),2023-11-02 01:52:59.516822+00,2023-11-14 03:33:00.771928+00
24,안전성,2,3.0,5,편의공간(안내),2023-11-02 01:52:59.567646+00,2023-11-14 03:33:00.810547+00
25,포용성,2,3.0,5,편의공간(안내),2023-11-02 01:52:59.569832+00,2023-11-14 03:33:00.81215+00
