진단지역,ID,그룹,Data No.,유형,Category 1 type,Category 2 type,등록일시,위도,경도,대분류,중분류,질문_Num,질문_기준,질문_내용,점수,리뷰,이미지경로
범일초등학교,botong29,1,4480,2,2,2,2025.11.05 01:59:10,35.178552,129.0721506,보도 (공공공간),보도,1,접근성,보행로는 시설물이나 차량진입로 등으로 인해 단절되지 않고 접근하기 편리한가요?,3,테스트입니다...............,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/4480_botong29_20251105_91_98.jpg
범일초등학교,botong29,1,4480,2,2,2,2025.11.05 01:59:10,35.178552,129.0721506,보도 (공공공간),보도,2,이동성,보행로는 보행이동 동선 상에 마감재 포장 등으로 인한 단차가 없이 이동하기 편안한가요?,4,테스트입니다...............,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/4480_botong29_20251105_91_98.jpg
범일초등학교,botong29,1,4480,2,2,2,2025.11.05 01:59:10,35.178552,129.0721506,보도 (공공공간),보도,3,안전성,보행로는 안전하고 편안하게 통행할 수 있나요?,2,테스트입니다...............,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/4480_botong29_20251105_91_98.jpg
범일초등학교,botong29,1,4480,2,2,2,2025.11.05 01:59:10,35.178552,129.0721506,보도 (공공공간),보도,4,정보제공성,"보행구역은 마감재 색상, 질감 등으로 명확하게 구분되었나요?",5,테스트입니다...............,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/4480_botong29_20251105_91_98.jpg
범일초등학교,botong29,1,4480,2,2,2,2025.11.05 01:59:10,35.178552,129.0721506,보도 (공공공간),보도,5,포용성,보행로는 사회적 교통약자(휠체어) 및 장애인을 위한 시설(점자블록)이 적절하게 설치되었나요?,4,테스트입니다...............,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/4480_botong29_20251105_91_98.jpg
범일초등학교,botong29,1,4480,2,2,2,2025.11.05 01:59:10,35.178552,129.0721506,보도 (공공공간),보도,6,심미성,보행로는 심미적으로 주변 환경과 조화를 이루도록 디자인 되었나요?,2,테스트입니다...............,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/4480_botong29_20251105_91_98.jpg
범일초등학교,parksr926,1,4430,2,2,2,2025.03.25 08:27:25,35.1277577,129.0929269,공공건축물,계단,1,접근성,"건축물의 계단은 개방성을 확보하고, 이동공간(보행로) 및 주변 건축물에서 접근하기 편리한가요?",4,Rtfgrrt efffdddhyffguyg,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/4430_parksr926_20250325_93_105
범일초등학교,parksr926,1,4430,2,2,2,2025.03.25 08:27:25,35.1277577,129.0929269,공공건축물,계단,2,이동성,건축물 계단은 단차와 깊이는 이동하기 적절한가요?,3,Rtfgrrt efffdddhyffguyg,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/4430_parksr926_20250325_93_105
범일초등학교,parksr926,1,4430,2,2,2,2025.03.25 08:27:25,35.1277577,129.0929269,공공건축물,계단,3,안전성,"건축물 계단은 논슬립 등 미끄럼 방지턱, 손잡이와 같은 보조 수단을 통해 보행자가 안전하게 이동할 수 있나요?",4,Rtfgrrt efffdddhyffguyg,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/4430_parksr926_20250325_93_105
범일초등학교,parksr926,1,4430,2,2,2,2025.03.25 08:27:25,35.1277577,129.0929269,공공건축물,계단,4,정보제공성,"건축물 계단은 진행방향 목적지, 층(floor) 등 편의 정보를 제공하나요?",2,Rtfgrrt efffdddhyffguyg,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/4430_parksr926_20250325_93_105
